Understat_ID,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,selected_by_percent,final_cost
847,0,1,28,744,11,114.8,110.8,66,3,125,29.2,2,0,1,45,0.3,42
8380,0,0,34,900,8,26.4,163.2,16,1,182,20.6,4,0,2,45,0.2,42
492,1,3,94,2089,24,351.8,362.8,232,17,421,94.7,7,0,8,50,0.7,48
508,0,3,36,751,10,169.4,171.8,77,3,168,41.9,2,0,0,45,0.3,42
342,0,0,2,90,1,5.4,3.6,4,0,9,1.3,0,0,0,45,0.2,42
1749,0,1,105,2557,26,76.1,602.6,97,10,536,77.7,11,0,2,45,4,41
8089,1,4,96,2299,27,490.1,446.4,201,4,483,113.9,8,0,4,50,8.2,49
6888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.1,45
5613,2,0,78,1996,24,51,464.8,233,7,385,74.9,6,1,2,50,0.6,53
6859,1,0,32,630,6,2.2,147,57,3,124,20.7,3,0,2,45,0.2,44
1024,2,2,128,3194,42,97.3,798.4,293,8,633,119.3,14,1,4,50,7.2,50
884,0,4,138,3404,44,607,690.4,122,9,710,142.2,16,0,7,50,10,47
7726,2,0,119,3195,46,34.2,695.6,276,8,580,101,12,0,3,50,1.3,49
3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.1,45
8864,0,2,89,2373,35,352.9,520.8,110,8,468,98.7,11,1,6,50,1.9,53
6047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2.5,40
7382,1,0,64,2057,28,183.1,389,214,1,330,78.2,6,0,5,45,0.3,44
6048,5,0,130,2932,40,136.7,720.4,443,17,626,130.2,11,2,5,50,6.1,48
7699,1,0,85,2594,35,96.6,505.4,244,0,470,84.6,9,0,4,45,0.4,43
8780,1,1,96,2280,27,366,484.4,169,10,432,102.1,9,0,3,45,1.1,42
7298,0,0,104,3192,44,152.5,488.6,153,5,571,79.7,12,1,3,45,12.4,46
8226,1,3,35,887,15,162.9,147.8,156,2,156,46.7,2,1,2,45,19.2,45
1665,1,0,109,3240,50,148,773.4,350,9,534,127.7,11,0,6,50,1.3,49
857,0,0,2,273,8,12.9,39.4,6,0,28,5.9,0,0,2,40,1,39
887,0,3,50,1260,19,77,199.4,63,5,203,34,3,0,1,45,0.3,41
1747,0,0,14,636,13,12,102.6,25,1,85,14,1,0,2,40,1.3,40
1654,2,0,102,2693,41,71.6,691,312,7,500,107.9,10,0,3,50,0.9,46
1652,1,1,103,3060,47,380.8,551.2,125,6,545,105.8,10,0,5,45,3.1,44
1707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.1,44
6044,0,2,83,2425,42,248.5,494.4,52,5,451,79.5,8,0,1,45,1.3,44
681,1,2,113,2187,20,413.3,502.2,164,12,518,107.9,13,1,5,60,3.5,56
1621,2,1,57,958,13,204.1,224.2,328,5,225,75.6,5,0,2,55,1.4,57
1822,1,0,93,1710,10,83.8,368.6,201,9,429,65.4,11,0,0,55,6.5,61
935,5,0,108,2027,25,72.6,577.8,339,6,481,99,9,0,3,55,1.8,54
200,0,0,61,1371,17,80.9,293.4,34,9,323,40.9,8,1,2,50,1.1,46
8067,1,3,112,2367,29,697.3,527.4,399,15,572,162.8,9,0,3,55,9.8,65
782,3,6,139,2286,23,535.8,545,408,11,549,148.5,12,0,3,60,13.5,56
530,0,0,18,551,12,11.4,101.2,29,2,97,14.1,2,0,1,45,0.2,43
510,0,1,66,2255,43,118.2,366.8,28,6,353,51.3,7,0,5,45,0.1,45
525,0,0,1,1,0,0,2.2,0,0,3,0.2,0,0,0,40,1.6,38
6451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,45
8214,1,2,58,1710,32,76.8,387.6,60,5,287,52.5,4,0,1,45,1.3,45
585,0,3,81,1607,19,268.2,322.6,189,4,371,78,8,0,0,50,0.5,49
1823,0,9,120,2681,42,704.2,592.6,136,18,590,143.5,9,1,2,55,22.6,50
1653,3,1,127,2989,43,87.8,814,243,13,649,114.5,11,0,4,50,2.7,46
6521,2,0,79,1936,22,23.5,496.2,200,7,399,72.3,6,0,2,50,0.5,49
985,1,0,80,2286,32,126,432.2,80,4,426,64.1,9,0,9,45,1.1,42
7689,0,2,100,2683,35,84.3,610.4,152,7,537,84.8,11,0,4,50,1.4,47
807,2,2,109,2473,31,129,532.4,115,12,536,77.9,10,0,7,55,2,54
3303,0,1,27,954,19,162.4,183.4,144,0,152,48.9,2,0,3,55,1.9,52
759,1,0,19,718,12,10.9,155,61,2,121,22.7,0,0,3,40,3.4,40
5264,1,0,59,1816,30,114.4,403.6,157,3,360,67.7,5,0,2,50,1.6,49
7753,2,2,101,2070,25,290.7,472.2,195,13,447,96,9,0,4,50,0.3,49
8562,1,0,26,968,18,111.7,169,101,0,132,38.1,1,0,2,45,0.4,43
6157,2,4,94,2345,37,350.2,486.6,181,7,479,101.7,6,0,1,55,4.2,53
7589,0,1,71,2260,30,107.8,502,121,5,464,73.4,7,0,7,45,25.6,43
8816,1,0,59,2186,41,17.7,620.4,259,2,454,89.8,6,1,4,45,0.4,44
8716,0,0,100,3399,54,421.4,843.2,350,2,665,161.6,12,0,7,45,9.3,43
8717,1,0,71,2072,32,66.3,513,222,2,402,80.1,7,0,3,45,0.7,43
6273,0,0,38,1130,21,52.2,230.2,131,2,220,41.4,4,0,1,45,0.4,43
2163,1,0,50,1203,12,51,293,115,3,255,46,4,0,1,45,0.5,45
8852,0,0,2,6,0,0.1,0,0,0,5,0,0,0,0,40,1.3,37
332,1,2,42,690,5,42.4,179,84,5,194,30.6,3,0,2,50,0.3,53
