Player,Team,Position,Points,Goals,Assists,Minutes,Goals Conceded,Bonus,BPS,Clean Sheets,Yellows,Reds
Saka,Arsenal,MID,179,11,9,2978,39,18,566,13,6,0
Smith Rowe,Arsenal,MID,125,10,2,1909,28,9,435,8,1,0
Odegaard,Arsenal,MID,131,7,4,2782,39,9,541,11,4,0
Martinelli,Arsenal,MID,110,6,7,1855,25,6,345,7,1,1
Nketiah,Arsenal,FWD,55,5,1,823,18,6,194,0,3,0
Gabriel,Arsenal,DEF,146,5,0,3063,38,16,682,13,6,1
Aubameyang,Arsenal,FWD,44,4,1,1036,16,7,131,6,3,0
Lacazette,Arsenal,FWD,90,4,8,1773,17,3,295,10,0,0
Partey,Arsenal,MID,71,2,2,2027,25,4,345,10,6,0
Pepe,Arsenal,MID,45,1,4,681,9,1,127,2,0,0
Holding,Arsenal,DEF,29,1,0,840,16,2,152,2,2,1
Tavares,Arsenal,DEF,49,1,1,1169,19,2,199,3,2,0
Soares,Arsenal,DEF,48,1,1,1481,27,3,292,3,3,0
Tierney,Arsenal,DEF,106,1,3,1916,21,11,454,11,0,0
Xhaka,Arsenal,MID,60,1,2,2327,38,3,334,6,10,1
Nelson,Arsenal,MID,1,0,0,19,1,0,4,0,0,0
Balogun,Arsenal,FWD,2,0,0,69,1,0,2,0,0,0
Kolasinac,Arsenal,DEF,0,0,0,91,5,0,6,0,1,0
Marí,Arsenal,DEF,1,0,0,180,4,0,35,0,1,0
Maitland-Niles,Arsenal,MID,12,0,0,263,4,0,44,2,0,0
Leno,Arsenal,GK,10,0,0,360,9,0,69,1,0,0
Elneny,Arsenal,MID,27,0,2,801,17,0,156,0,1,0
Sambi Lokonga,Arsenal,MID,32,0,0,1129,11,0,173,7,5,0
Tomiyasu,Arsenal,DEF,75,0,1,1680,20,5,344,9,2,0
White,Arsenal,DEF,107,0,0,2880,35,9,557,13,3,0
Ramsdale,Arsenal,GK,135,0,0,3060,39,14,641,12,1,0
Watkins,Aston Villa,FWD,131,11,3,2950,48,17,441,10,7,0
Ings,Aston Villa,FWD,106,7,6,1891,26,12,344,10,4,0
Ramsey,Aston Villa,MID,109,6,1,2465,35,9,402,12,6,0
Coutinho,Aston Villa,MID,83,5,3,1327,17,7,283,7,0,0
Buendia,Aston Villa,MID,107,4,6,1887,32,8,378,7,1,0
Cash,Aston Villa,DEF,147,4,3,3377,50,11,623,13,8,0
McGinn,Aston Villa,MID,110,3,4,3090,48,12,495,10,8,0
Konsa,Aston Villa,DEF,78,2,0,2477,43,4,388,8,4,2
Luiz,Aston Villa,MID,89,2,3,2715,38,3,468,10,7,0
Hause,Aston Villa,DEF,20,1,0,397,9,3,89,1,0,0
Bailey,Aston Villa,MID,37,1,3,750,13,1,98,2,3,0
Chambers,Aston Villa,DEF,42,1,0,999,16,2,198,4,1,0
Mings,Aston Villa,DEF,118,1,4,3188,49,12,596,11,11,0
Moraes,Aston Villa,FWD,1,0,0,1,0,0,2,0,0,0
Philogene-Bidace,Aston Villa,MID,1,0,0,4,0,0,0,0,0,0
Trezeguet,Aston Villa,MID,1,0,0,10,1,0,4,0,0,0
Davis,Aston Villa,FWD,1,0,0,11,0,0,2,0,0,0
Archer,Aston Villa,FWD,3,0,0,24,0,0,3,0,0,0
Steer,Aston Villa,GK,1,0,0,90,3,0,13,0,0,0
Iroegbunam,Aston Villa,MID,4,0,0,90,0,0,17,1,1,0
Olsen,Aston Villa,GK,1,0,0,90,3,0,14,0,0,0
Traore,Aston Villa,MID,13,0,1,212,3,0,41,0,0,0
Chukwuemeka,Aston Villa,MID,16,0,1,291,6,0,43,0,0,0
Sanson,Aston Villa,MID,13,0,0,349,8,0,61,0,0,0
Nakamba,Aston Villa,MID,22,0,0,899,20,0,124,2,5,0
Young,Aston Villa,DEF,50,0,2,1234,19,0,224,4,2,0
Digne,Aston Villa,DEF,83,0,4,2440,42,8,459,7,6,0
Martinez,Aston Villa,GK,129,0,0,3240,48,7,651,11,4,0
Toney,Brentford,FWD,139,12,5,2908,47,19,502,8,8,0
Wissa,Brentford,MID,92,7,2,1268,22,6,277,3,0,0
Janelt,Brentford,MID,90,4,0,2295,37,8,343,9,3,0
Mbeumo,Brentford,MID,119,4,7,2905,47,6,310,9,4,0
Canos,Brentford,MID,81,3,3,2077,36,5,268,8,6,1
Henry,Brentford,DEF,108,3,0,2775,41,4,453,9,2,0
Norgaard,Brentford,MID,101,3,4,3054,51,5,502,8,8,0
Jansson,Brentford,DEF,122,3,4,3321,56,13,616,8,7,0
Jorgensen,Brentford,DEF,18,1,0,516,10,0,84,1,2,0
Ghoddos,Brentford,MID,30,1,2,524,4,0,115,1,2,0
Baptiste,Brentford,MID,35,1,0,898,15,2,120,2,0,1
Eriksen,Brentford,MID,43,1,4,938,10,2,221,4,1,0
Roerslev,Brentford,DEF,41,1,1,1232,27,4,170,1,1,0
Ajer,Brentford,DEF,81,1,3,1995,32,5,384,8,5,0
Pinnock,Brentford,DEF,90,1,1,2694,43,7,517,7,1,0
Young-Coombes,Brentford,FWD,1,0,0,3,0,0,2,0,0,0
Stevens,Brentford,DEF,1,0,0,14,0,0,4,0,0,0
Fosu-Henry,Brentford,MID,1,0,0,16,0,0,4,0,0,0
Bidstrup,Brentford,MID,4,0,0,36,0,0,11,0,0,0
Thompson,Brentford,DEF,3,0,0,146,3,0,12,0,0,0
Lossl,Brentford,GK,2,0,0,180,5,0,21,0,0,0
Forss,Brentford,FWD,11,0,1,203,4,0,35,0,0,0
Dasilva,Brentford,MID,7,0,0,250,6,0,27,0,0,1
Goode,Brentford,DEF,10,0,0,448,6,0,64,1,3,0
Sorensen,Brentford,DEF,22,0,0,833,14,1,139,2,3,0
Onyeka,Brentford,MID,35,0,2,1040,19,0,117,3,4,0
Fernandez,Brentford,GK,31,0,0,1080,24,2,218,1,0,0
Jensen,Brentford,MID,54,0,1,1590,30,2,246,3,0,0
Raya,Brentford,GK,95,0,0,2160,27,5,496,8,1,0
Maupay,Brighton,FWD,98,8,3,2269,31,11,295,7,7,0
Trossard,Brighton,MID,141,8,4,2803,33,16,465,11,2,0
Welbeck,Brighton,FWD,89,6,4,1469,16,13,247,5,0,0
