name,position,team,xP,total_points
Femi Seriki,DEF,Sheffield Utd,-0.5,0
Radek Vítek,GK,Man Utd,1.5,0
Jack Hinshelwood,MID,Brighton,0,0
Jadon Sancho,MID,Man Utd,1.5,1
Rhys Norrington-Davies,DEF,Sheffield Utd,0,0
Vitaly Janelt,MID,Brentford,2.5,3
Ionuț Radu,GK,Bournemouth,-0.5,0
Andre Brooks,MID,Sheffield Utd,0.5,1
Jack Grealish,MID,Man City,2,3
Emil Krafth,DEF,Newcastle,0,0
Boubacar Traoré,MID,Wolves,0,0
Curtis Jones,MID,Liverpool,0.2,0
Reece James,DEF,Chelsea,0,0
Brandon Austin,GK,Spurs,-0.5,0
Robin Olsen,GK,Aston Villa,0,0
Ben Osborn,MID,Sheffield Utd,1,1
Amad Diallo,MID,Man Utd,0,0
Anthony Elanga,MID,Nott'm Forest,3,1
Oliver Norwood,MID,Sheffield Utd,1,1
Harry Toffolo,DEF,Nott'm Forest,0.5,0
Bernardo Veiga de Carvalho e Silva,MID,Man City,0,0
Ivan Toney,FWD,Brentford,0,0
Nuno Varela Tavares,DEF,Arsenal,0.5,0
Alex Murphy,DEF,Newcastle,-0.5,0
Eddie Nketiah,FWD,Arsenal,7,5
Benoît Badiashile,DEF,Chelsea,0,0
Emile Smith Rowe,MID,Arsenal,0.5,0
Jarell Quansah,DEF,Liverpool,0.5,0
Ben Chilwell,DEF,Chelsea,4,1
Philippe Coutinho Correia,MID,Aston Villa,1,1
Tim Iroegbunam,MID,Aston Villa,0,0
Andy Lonergan,GK,Everton,0,0
Pablo Sarabia,MID,Wolves,3.5,4
Kieffer Moore,FWD,Bournemouth,0.5,1
Wayne Hennessey,GK,Nott'm Forest,0,0
Remi Matthews,GK,Crystal Palace,-0.5,0
Ibrahima Konaté,DEF,Liverpool,2.5,2
Joelinton Cássio Apolinário de Lira,MID,Newcastle,0.5,0
Marcus Tavernier,MID,Bournemouth,0,0
Matthew Cox,GK,Brentford,0,0
Manuel Akanji,DEF,Man City,7,7
Matheus França de Oliveira,MID,Crystal Palace,0,0
Lucas Tolentino Coelho de Lima,MID,West Ham,3.5,6
Rasmus Højlund,FWD,Man Utd,0,0
Rayan Aït-Nouri,DEF,Wolves,0.5,0
Calum Chambers,DEF,Aston Villa,0,0
Ben Davies,DEF,Spurs,1.5,4
Emerson Palmieri dos Santos,DEF,West Ham,2.5,4
Luis Díaz,MID,Liverpool,8,7
Jakub Moder,MID,Brighton,0,0
John Stones,DEF,Man City,0,0
Idrissa Gueye,MID,Everton,1,0
Harry Wilson,MID,Fulham,2.5,2
Marcus Bettinelli,GK,Chelsea,0,0
Malcolm Ebiowei,MID,Crystal Palace,0,0
Benjamin White,DEF,Arsenal,4.5,7
Teden Mengi,DEF,Man Utd,0.5,0
Ezri Konsa Ngoyo,DEF,Aston Villa,3,6
Thomas Partey,MID,Arsenal,3,3
Jamal Lewis,DEF,Newcastle,0,0
Leon Bailey,MID,Aston Villa,7.5,14
Ethan Horvath,GK,Nott'm Forest,0.5,0
Luke Plange,FWD,Crystal Palace,0,0
Luke Shaw,DEF,Man Utd,3.5,1
Mario Lemina,MID,Wolves,1.5,2
Andi Zeqiri,FWD,Brighton,0,0
James Tarkowski,DEF,Everton,1,0
Kristoffer Ajer,DEF,Brentford,2.5,4
Brennan Johnson,MID,Nott'm Forest,2.5,2
Jake O'Brien,DEF,Crystal Palace,0,0
Ryan Sessegnon,DEF,Spurs,0,0
Justin Kluivert,MID,Bournemouth,0.5,1
Viljami Sinisalo,GK,Aston Villa,0,0
Pierre-Emile Højbjerg,MID,Spurs,0,1
Lesley Ugochukwu,MID,Chelsea,0.5,0
Arnaut Danjuma Groeneveld,MID,Everton,1,1
Callum Hudson-Odoi,MID,Chelsea,0,0
Kieran Tierney,DEF,Arsenal,0.5,0
Tim Ream,DEF,Fulham,2.5,-2
Phil Foden,MID,Man City,6.5,9
Christian Eriksen,MID,Man Utd,1.5,1
Fábio Silva,FWD,Wolves,1,1
Alfie Whiteman,GK,Spurs,0,0
James Tomkins,DEF,Crystal Palace,0,0
William Osula,FWD,Sheffield Utd,1,2
Ollie Watkins,FWD,Aston Villa,5,5
Gabriel dos Santos Magalhães,DEF,Arsenal,1.5,1
Takehiro Tomiyasu,DEF,Arsenal,2.5,3
Harrison Reed,MID,Fulham,2,1
Manor Solomon,MID,Spurs,0,1
Marcus Oliveira Alencar,MID,Arsenal,0,0
Eric Bailly,DEF,Man Utd,0.5,0
Hakim Ziyech,MID,Chelsea,0,0
Gianluca Scamacca,FWD,West Ham,0,0
Christian Nørgaard,MID,Brentford,2.5,3
Sean Longstaff,MID,Newcastle,0.5,1
Danny Ings,FWD,West Ham,0.5,0
Donny van de Beek,MID,Man Utd,0.5,0
Giulian Biancone,DEF,Nott'm Forest,0.5,0
Albert Sambi Lokonga,MID,Arsenal,0.5,0
Kaoru Mitoma,MID,Brighton,8.5,12
Abdul Rahman Baba,DEF,Chelsea,0,0
Dango Ouattara,MID,Bournemouth,0,0
Daniel Jebbison,FWD,Sheffield Utd,-0.2,0
Simon Adingra,MID,Brighton,3,0
Sergio Gómez,DEF,Man City,0.5,0
Wataru Endo,MID,Liverpool,2.6,1
Danilo dos Santos de Oliveira,MID,Nott'm Forest,2.5,2
David Raya Martin,GK,Arsenal,0.5,0
Jacob Murphy,MID,Newcastle,1.5,0
Jean-Philippe Mateta,FWD,Crystal Palace,-0.5,0
Ben Pearson,MID,Bournemouth,0,0
Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest,0,0
William Saliba,DEF,Arsenal,7,8
Ben Godfrey,DEF,Everton,0,0
André Tavares Gomes,MID,Everton,0,0
Destiny Udogie,DEF,Spurs,2.5,5
Ryan Trevitt,MID,Brentford,0,0
Douglas Luiz Soares de Paulo,MID,Aston Villa,4,7
Mark Flekken,GK,Brentford,4,6
Martin Dubravka,GK,Newcastle,-0.5,0
James McConnell,MID,Liverpool,0.5,0
Stefan Bajcetic,MID,Liverpool,0.5,0
Andreas Hoelgebaum Pereira,MID,Fulham,3,2
Marc Cucurella Saseta,DEF,Chelsea,0,0
João Palhinha Gonçalves,MID,Fulham,0,0
Bryan Gil Salvatierra,MID,Spurs,0,0
Neco Williams,DEF,Nott'm Forest,2,2
Harrison Ashby,DEF,Newcastle,0,0
Billy Gilmour,MID,Brighton,1.5,2
John Egan,DEF,Sheffield Utd,1,1
Mikkel Damsgaard,MID,Brentford,1,1
Angelo Ogbonna,DEF,West Ham,0.5,1
Chris Basham,DEF,Sheffield Utd,1,1
Son Heung-min,MID,Spurs,2,3
Joe Gomez,DEF,Liverpool,1,1
Darren Randolph,GK,Bournemouth,-0.5,0
Ben Johnson,DEF,West Ham,0,0
Pedro Porro,DEF,Spurs,2.5,6
Levi Colwill,DEF,Chelsea,1.5,1
Jonathan Panzo,DEF,Nott'm Forest,0.5,0
Pablo Fornals Malla,MID,West Ham,1.5,1
Rico Henry,DEF,Brentford,4.5,5
Bobby Clark,MID,Liverpool,0.5,0
Flynn Downes,MID,West Ham,0,0
Ben Greenwood,DEF,Bournemouth,-0.5,0
Joe Willock,MID,Newcastle,0,0
Javier Manquillo Gaitán,DEF,Newcastle,0,0
Kobbie Mainoo,MID,Man Utd,0,0
Dominic Calvert-Lewin,FWD,Everton,0.5,1
Tommy Doyle,MID,Man City,0.5,0
Halil Dervişoğlu,FWD,Brentford,0,0
João Pedro Junqueira de Jesus,FWD,Brighton,3.5,0
Kurt Zouma,DEF,West Ham,2,2
Omar Richards,DEF,Nott'm Forest,0,0
Iliman Ndiaye,FWD,Sheffield Utd,0,0
Shea Charles,MID,Man City,0,0
Joe Rodon,DEF,Spurs,0,0
Neal Maupay,FWD,Everton,1.5,1
Jordan Ayew,MID,Crystal Palace,3,1
Divin Mubama,FWD,West Ham,0,0
Nathaniel Phillips,DEF,Liverpool,0.5,0
Dominik Szoboszlai,MID,Liverpool,4,5
Mason Mount,MID,Man Utd,3,2
Ellery Balcombe,GK,Brentford,0,0
David Brooks,MID,Bournemouth,1,1
Pascal Groß,MID,Brighton,1.5,1
John McGinn,MID,Aston Villa,6,10
Tanguy Ndombélé Alvaro,MID,Spurs,-0.5,0
Jairo Riedewald,MID,Crystal Palace,-0.5,0
Yoane Wissa,FWD,Brentford,10,11
Reiss Nelson,MID,Arsenal,0.5,0
Facundo Pellistri Rebollo,MID,Man Utd,1.5,1
James Hill,DEF,Bournemouth,0,0
Bruno Cavaco Jordão,MID,Wolves,0,0
Kjell Scherpen,GK,Brighton,0,0
Máximo Perrone,MID,Man City,0.5,0
Aleksandar Mitrović,FWD,Fulham,0,0
Kevin Schade,MID,Brentford,2,3
Moussa Niakhaté,DEF,Nott'm Forest,1,1
Paul Dummett,DEF,Newcastle,-0.5,0
Sven Botman,DEF,Newcastle,3,2
Issa Diop,DEF,Fulham,4.5,1
Aaron Ramsdale,GK,Arsenal,4.5,6
Tosin Adarabioyo,DEF,Fulham,0,0
Trent Alexander-Arnold,DEF,Liverpool,2,2
Pervis Estupiñán,DEF,Brighton,9,11
Harvey Elliott,MID,Liverpool,1.5,1
Jack Robinson,DEF,Sheffield Utd,1,1
Gabriel Martinelli Silva,MID,Arsenal,4.5,3
Jhon Durán,FWD,Aston Villa,0.9,7
Oscar Bobb,MID,Man City,0.5,0
Michail Antonio,FWD,West Ham,5,9
Malang Sarr,DEF,Chelsea,0,0
Ângelo Gabriel Borges Damaceno,MID,Chelsea,0,0
Micky van de Ven,DEF,Spurs,3.5,7
Adama Traoré,MID,Fulham,1.7,1
Shola Shoretire,FWD,Man Utd,0.5,0
Lisandro Martínez,DEF,Man Utd,0,-1
Alex Mighten,MID,Nott'm Forest,0.5,0
Bryan Mbeumo,MID,Brentford,11.5,16
Nicolas Pépé,MID,Arsenal,0.5,0
Alexis Mac Allister,MID,Liverpool,0,-2
Omari Kellyman,MID,Aston Villa,0,0
Youri Tielemans,MID,Aston Villa,1,1
Remo Freuler,MID,Nott'm Forest,0.5,0
Illia Zabarnyi,DEF,Bournemouth,1,1
Karl Hein,GK,Arsenal,0.5,0
Aaron Connolly,FWD,Brighton,0,0
Dean Henderson,GK,Man Utd,0.5,0
Marcos Senesi,DEF,Bournemouth,0.5,1
Granit Xhaka,MID,Arsenal,0,0
