name,position,team,element,expected_goal_involvements,total_points
Folarin Balogun,FWD,Arsenal,1,0,0
Folarin Balogun,FWD,Arsenal,1,0,0
Folarin Balogun,FWD,Arsenal,1,0,0
Cédric Alves Soares,DEF,Arsenal,2,0,0
Cédric Alves Soares,DEF,Arsenal,2,0,0
Cédric Alves Soares,DEF,Arsenal,2,0,0
Mohamed Elneny,MID,Arsenal,3,0,0
Mohamed Elneny,MID,Arsenal,3,0,0
Mohamed Elneny,MID,Arsenal,3,0,0
Fábio Ferreira Vieira,MID,Arsenal,4,0,0
Fábio Ferreira Vieira,MID,Arsenal,4,0,0
Fábio Ferreira Vieira,MID,Arsenal,4,0.26,7
Gabriel dos Santos Magalhães,DEF,Arsenal,5,0,1
Gabriel dos Santos Magalhães,DEF,Arsenal,5,0,1
Gabriel dos Santos Magalhães,DEF,Arsenal,5,0,0
Kai Havertz,MID,Arsenal,6,0.29,2
Kai Havertz,MID,Arsenal,6,0.07,2
Kai Havertz,MID,Arsenal,6,0.41,1
Rob Holding,DEF,Arsenal,7,0,0
Rob Holding,DEF,Arsenal,7,0,0
Rob Holding,DEF,Arsenal,7,0,0
Gabriel Fernando de Jesus,FWD,Arsenal,8,0,0
Gabriel Fernando de Jesus,FWD,Arsenal,8,0,0
Gabriel Fernando de Jesus,FWD,Arsenal,8,0.15,1
Jorge Luiz Frello Filho,MID,Arsenal,9,0,0
Jorge Luiz Frello Filho,MID,Arsenal,9,0.01,1
Jorge Luiz Frello Filho,MID,Arsenal,9,0.03,1
Jakub Kiwior,DEF,Arsenal,10,0,0
Jakub Kiwior,DEF,Arsenal,10,0,1
Jakub Kiwior,DEF,Arsenal,10,0.35,1
Marcus Oliveira Alencar,MID,Arsenal,11,0,0
Marcus Oliveira Alencar,MID,Arsenal,11,0,0
Marcus Oliveira Alencar,MID,Arsenal,11,0,0
Gabriel Martinelli Silva,MID,Arsenal,12,0.22,5
Gabriel Martinelli Silva,MID,Arsenal,12,0.15,3
Gabriel Martinelli Silva,MID,Arsenal,12,0.65,2
Eddie Nketiah,FWD,Arsenal,13,0.22,8
Eddie Nketiah,FWD,Arsenal,13,0.83,5
Eddie Nketiah,FWD,Arsenal,13,0.53,5
Martin Ødegaard,MID,Arsenal,14,0.2,2
Martin Ødegaard,MID,Arsenal,14,0.92,11
Martin Ødegaard,MID,Arsenal,14,0.25,2
Thomas Partey,MID,Arsenal,15,0.06,2
Thomas Partey,MID,Arsenal,15,0.12,3
Thomas Partey,MID,Arsenal,15,0.08,1
Nicolas Pépé,MID,Arsenal,16,0,0
Nicolas Pépé,MID,Arsenal,16,0,0
Nicolas Pépé,MID,Arsenal,16,0,0
Aaron Ramsdale,GK,Arsenal,17,0,2
Aaron Ramsdale,GK,Arsenal,17,0.01,6
Aaron Ramsdale,GK,Arsenal,17,0,1
Rúnar Alex Rúnarsson,GK,Arsenal,18,0,0
Rúnar Alex Rúnarsson,GK,Arsenal,18,0,0
